Abate,"subside , or moderate","            rebate means discount... i.e reducing the price..abate and rebate are rhyming words            ",            (Tag : ) abate which is rhyming with debate.Debate means raising(actually in discussion imagine that in every thing) just opposite to debate consider abate that is reduction in nature            ,Powered by Mnemonic Dictionary            ab ate mat karo abate your weight            
Aberrant,"abnormal, or deviant",            (Tag: Global) ab (away) + err (error) + ant : focus on ERR and ANT. Ants normally move together in a queue. imagine all these ants moving randomly like a group of honey bees. That would be abnormal behaviour.            ,            (beer+ant)...ant drank beer and walking abnormal..             ,"            ab (away) + err (error) + ant : focus on ERR and ANT, usually an ant follows a path ... so moving away from (root ab means away from) that path means, error in regular path and hence deviating from normal path...or behaviour             "
Abeyance,suspended action,            a+beyance .. here concentrate on beyance.. it sounds like buoyancy which which suspends objects above the ground level..            ,"            remember ""abey"" in hindi... abey mat karo... do it later!            ",            Interpret it as opposite of obey+ance -- not obeying the given orders and suspend the work (action)            
Abscond,depart secretly and hide,"            Abscond – ab + scond. ‘Absent in a second’. When you will absent in a second? =when u STEAL OFF & HIDE, or when u DEPART secretly.            ","            absCOND sounds like abs'KAND'..when you do KAND you run away, depart secretly and hide :)            ",            focus on cond=condition if elders keep conditions to do this n that we will do it secretly or we will escape from that place secretly            
Abstemious,sparing in eating and drinking; temperate,"Powered by Mnemonic Dictionary            focus on 'abs' part of this word. Abs...To build a six-pack abs, eat n drink carefully            ",            ABstain from eating STEM            ,"            abs (abs) + stemious (stamina): To build stamina or six pack abs, you have to eat and drink carefully.            "
Admonish,warn; reprove,"            in the add of ""eak choti si love story"" monisha koiralla on orkut and she shall admonish u/warn u for doing so            ",            adm(in)+on(e)+(pun)ish : (net)admin in the company is one step away (Giving strong warning now) from punishing you.bcoz you are accessing prohibited network sites.             ,"            to avoid A DEMON-ish act, a mother Warns her naughty child[Note: A face of a demon as the warning Sign]            "
Adulterate,make impure by adding inferior or tainted substances,"Powered by Mnemonic Dictionary            dull+the+rate = impure, means to decrease the rate            ","            Adults are more impure than children, so adulterate means to make impure            ","            when a child becomes adult he loses his purity and innocence...so any thing adulterated is contaminated or has lost its purity.            "
Aesthetic,artistic; dealing with or capable of appreciating the beautiful,"            aes + theticopposite of ""pathetic""..means beauty            ","Powered by Mnemonic Dictionary            aes sounds like ash-aishvarya.so,everyone appreciates the beauty of aishvarya.            ","            Sounds like ""anesthesia,"" which makes you loopy, thinking everything around you is beautiful...            "
Aggregate,gather; accumulate,"            aggregate- a gre gate - all of us need gre ""total"" score to reach gate of university            ",Powered by Mnemonic Dictionary            What are your aggregate marks?... means what is your grand total marks            ,"            agree+gate, both should agree to mixed together or combined.            "
Alacrity,cheerful promptness; eagerness,            take the suffix crity we can link it with creativity.creative people are so eager to learn n create things differently.            ,Powered by Mnemonic Dictionary            alacrity sounds like AT+LAST+IN+CITY..a person who is first time in a big city is excited n eager to c da city...            ,"            remember it as a la carte.. which means selecting food from the menu.. usually when ppl go to restaurants they are ""eager"" to get food!!            "
Alleviate,relieve,Powered by Mnemonic Dictionary            ALL (all)+ EVI (evil)+ ATE (has been eaten up) so hence you are relieved of the pain and you feel relief            ,            alleviate ~ elevator: It sounds like elevator and elevator helps us reduce leg pain while walking or climbing stairs.            ,"            alleviate= ALL+LEVIS+ATE , people of old age r wearing dhoti while they ate as it gives relieve to them,bt nowadays ALL youngsters r wearing LEVIS JEANS while they ATE n r saying that it gives us RELIEVE while we eat.            "
